Match Number,Round Number,Date,Location,Home Team,Away Team,Result
7,1,12/08/2023 17:30,St. James' Park,Newcastle,Aston Villa,5 - 1
11,2,20/08/2023 14:00,Villa Park,Aston Villa,Everton,4 - 0
25,3,27/08/2023 14:00,Turf Moor,Burnley,Aston Villa,1 - 3
37,4,03/09/2023 14:00,Anfield,Liverpool,Aston Villa,3 - 0
41,5,16/09/2023 15:00,Villa Park,Aston Villa,Crystal Palace,3 - 1
55,6,24/09/2023 14:00,Stamford Bridge,Chelsea,Aston Villa,0 - 1
61,7,30/09/2023 12:30,Villa Park,Aston Villa,Brighton,6 - 1
80,8,08/10/2023 14:00,Molineux Stadium,Wolves,Aston Villa,1 - 1
81,9,22/10/2023 16:30,Villa Park,Aston Villa,West Ham,4 - 1
92,10,29/10/2023 14:00,Villa Park,Aston Villa,Luton,3 - 1
108,11,05/11/2023 14:00,The City Ground,Nottingham Forest,Aston Villa,2 - 0
112,12,12/11/2023 14:00,Villa Park,Aston Villa,Fulham,3 - 1
130,13,26/11/2023 14:00,Tottenham Hotspur Stadium,Spurs,Aston Villa,1 - 2
132,14,03/12/2023 14:00,Vitality Stadium,Bournemouth,Aston Villa,2 - 2
141,15,06/12/2023 20:15,Villa Park,Aston Villa,Man City,1 - 0
151,16,09/12/2023 17:30,Villa Park,Aston Villa,Arsenal,1 - 0
163,17,17/12/2023 14:00,Gtech Community Stadium,Brentford,Aston Villa,1 - 2
171,18,22/12/2023 20:00,Villa Park,Aston Villa,Sheffield Utd,1 - 1
188,19,26/12/2023 20:00,Old Trafford,Man Utd,Aston Villa,3 - 2
191,20,30/12/2023 15:00,Villa Park,Aston Villa,Burnley,3 - 2
207,21,14/01/2024 14:00,Goodison Park,Everton,Aston Villa,0 - 0
211,22,30/01/2024 20:15,Villa Park,Aston Villa,Newcastle,1 - 3
230,23,03/02/2024 17:30,Bramall Lane,Sheffield Utd,Aston Villa,0 - 5
231,24,11/02/2024 16:30,Villa Park,Aston Villa,Man Utd,1 - 2
244,25,17/02/2024 15:00,Craven Cottage,Fulham,Aston Villa,1 - 2
252,26,24/02/2024 15:00,Villa Park,Aston Villa,Nottingham Forest,4 - 2
265,27,02/03/2024 17:30,Kenilworth Road,Luton,Aston Villa,2 - 3
272,28,10/03/2024 13:00,Villa Park,Aston Villa,Spurs,0 - 4
289,29,17/03/2024 14:00,London Stadium,West Ham,Aston Villa,1 - 1
291,30,30/03/2024 19:30,Villa Park,Aston Villa,Wolves,2 - 0
310,31,03/04/2024 20:15,Etihad Stadium,Man City,Aston Villa,
311,32,06/04/2024 15:00,Villa Park,Aston Villa,Brentford,
321,33,14/04/2024 16:30,Emirates Stadium,Arsenal,Aston Villa,
331,34,21/04/2024 15:00,Villa Park,Aston Villa,Bournemouth,
341,35,27/04/2024 20:00,Villa Park,Aston Villa,Chelsea,
353,36,04/05/2024 15:00,Amex Stadium,Brighton,Aston Villa,
361,37,11/05/2024 15:00,Villa Park,Aston Villa,Liverpool,
376,38,19/05/2024 16:00,Selhurst Park,Crystal Palace,Aston Villa,
